+proj=utm +zone=17 +datum=WGS84 +units=m +no_defs
0 0 0 169 948 imagen_8.jpeg
20 20 0 1450 185 imagen_8.jpeg
0 20 0 200 166 imagen_8.jpeg
20 0 0 1465 938 imagen_8.jpeg
0 0 0 1109 1411 imagen_6.jpeg
20 20 0 383 213 imagen_6.jpeg
0 20 0 375 1474 imagen_6.jpeg
0 20 0 1091 1378 imagen_6.jpeg
20 0 0 1066 281 imagen_6.jpeg
0 0 0 11 897 imagen_10.jpeg
20 20 0 1034 100 imagen_10.jpeg
0 20 0 32 260 imagen_10.jpeg
20 0 0 1002 1009 imagen_10.jpeg
0 0 0 262 1042 imagen_11.jpeg
20 20 0 1537 372 imagen_11.jpeg
0 20 0 89 366 imagen_11.jpeg
20 0 0 1366 1055 imagen_11.jpeg
0 0 0 178 224 imagen_4.jpeg
20 20 0 941 1440 imagen_4.jpeg
0 20 0 896 250 imagen_4.jpeg
0 20 0 193 263 imagen_4.jpeg
20 0 0 180 1471 imagen_4.jpeg
20 20 0 1404 587 imagen_7.jpeg
0 20 0 141 565 imagen_7.jpeg
0 0 0 1095 1322 imagen_3.jpeg
20 20 0 303 189 imagen_3.jpeg
0 20 0 97 1292 imagen_3.jpeg
20 0 0 934 122 imagen_3.jpeg
0 0 0 58 891 imagen_9.jpeg
20 20 0 1266 206 imagen_9.jpeg
0 20 0 184 236 imagen_9.jpeg
20 0 0 1444 837 imagen_9.jpeg
0 0 0 908 1489 imagen_1.jpeg
20 20 0 270 249 imagen_1.jpeg
0 20 0 896 1449 imagen_1.jpeg
0 20 0 256 1321 imagen_1.jpeg
20 0 0 949 135 imagen_1.jpeg
0 0 0 455 1104 imagen_2.jpeg
20 20 0 1429 420 imagen_2.jpeg
0 20 0 507 223 imagen_2.jpeg
20 0 0 1400 976 imagen_2.jpeg
0 0 0 196 202 imagen_5.jpeg
20 20 0 1039 1385 imagen_5.jpeg
0 20 0 403 818 imagen_5.jpeg
0 20 0 863 206 imagen_5.jpeg
0 20 0 207 238 imagen_5.jpeg
20 0 0 156 1441 imagen_5.jpeg
